TERRITORIO,ANO,POBLACION
COLOMBIA,2013,45434942
COLOMBIA,2014,45866010
COLOMBIA,2015,46313898
COLOMBIA,2016,46830116
COLOMBIA,2017,47419200
COLOMBIA,2018,48258494
COLOMBIA,2019,49395678
COLOMBIA,2020,50407647
COLOMBIA,2021,51117378
COLOMBIA,2022,51682692
META,2013,952101
META,2014,969808
META,2015,987232
META,2016,1004633
META,2017,1021943
META,2018,1039722
META,2019,1052125
META,2020,1082032
META,2021,1098104
META,2022,1113810
VILLAVICENCIO,2013,484216
VILLAVICENCIO,2014,493721
VILLAVICENCIO,2015,503042
VILLAVICENCIO,2016,512462
VILLAVICENCIO,2017,521700
VILLAVICENCIO,2018,531275
VILLAVICENCIO,2019,538824
VILLAVICENCIO,2020,553409
VILLAVICENCIO,2021,561834
VILLAVICENCIO,2022,569806
ACACIAS,2013,79035
ACACIAS,2014,80841
ACACIAS,2015,82619
ACACIAS,2016,84461
ACACIAS,2017,86156
ACACIAS,2018,88023
ACACIAS,2019,90124
ACACIAS,2020,91562
ACACIAS,2021,92906
ACACIAS,2022,94160
BARRANCA DE UPIA,2013,5650
BARRANCA DE UPIA,2014,5832
BARRANCA DE UPIA,2015,5945
BARRANCA DE UPIA,2016,6071
BARRANCA DE UPIA,2017,6264
BARRANCA DE UPIA,2018,6440
BARRANCA DE UPIA,2019,6513
BARRANCA DE UPIA,2020,6762
BARRANCA DE UPIA,2021,6869
BARRANCA DE UPIA,2022,6986
CABUYARO,2013,5344
CABUYARO,2014,5531
CABUYARO,2015,5718
CABUYARO,2016,5830
CABUYARO,2017,5949
CABUYARO,2018,6062
CABUYARO,2019,6130
CABUYARO,2020,6297
CABUYARO,2021,6389
CABUYARO,2022,6479
CASTILLA LA NUEVA,2013,12480
CASTILLA LA NUEVA,2014,12887
CASTILLA LA NUEVA,2015,13262
CASTILLA LA NUEVA,2016,13548
CASTILLA LA NUEVA,2017,13928
CASTILLA LA NUEVA,2018,14300
CASTILLA LA NUEVA,2019,15186
CASTILLA LA NUEVA,2020,14966
CASTILLA LA NUEVA,2021,15232
CASTILLA LA NUEVA,2022,15447
CUBARRAL,2013,6544
CUBARRAL,2014,6612
CUBARRAL,2015,6652
CUBARRAL,2016,6751
CUBARRAL,2017,6859
CUBARRAL,2018,6963
CUBARRAL,2019,7019
CUBARRAL,2020,7294
CUBARRAL,2021,7461
CUBARRAL,2022,7592
CUMARAL,2013,20936
CUMARAL,2014,21381
CUMARAL,2015,21682
CUMARAL,2016,22111
CUMARAL,2017,22501
CUMARAL,2018,22831
CUMARAL,2019,23014
CUMARAL,2020,23777
CUMARAL,2021,24114
CUMARAL,2022,24451
EL CALVARIO,2013,1926
EL CALVARIO,2014,1902
EL CALVARIO,2015,1852
EL CALVARIO,2016,1801
EL CALVARIO,2017,1768
EL CALVARIO,2018,1776
EL CALVARIO,2019,1696
EL CALVARIO,2020,1807
EL CALVARIO,2021,1817
EL CALVARIO,2022,1843
EL CASTILLO,2013,8014
EL CASTILLO,2014,7979
EL CASTILLO,2015,7978
EL CASTILLO,2016,7994
EL CASTILLO,2017,7994
EL CASTILLO,2018,7977
EL CASTILLO,2019,7619
EL CASTILLO,2020,8204
EL CASTILLO,2021,8283
EL CASTILLO,2022,8417
EL DORADO,2013,3588
EL DORADO,2014,3688
EL DORADO,2015,3761
EL DORADO,2016,3803
EL DORADO,2017,3829
EL DORADO,2018,3888
EL DORADO,2019,3932
EL DORADO,2020,4069
EL DORADO,2021,4128
EL DORADO,2022,4199
FUENTE DE ORO,2013,10857
FUENTE DE ORO,2014,11134
FUENTE DE ORO,2015,11421
FUENTE DE ORO,2016,11677
FUENTE DE ORO,2017,11916
FUENTE DE ORO,2018,12129
FUENTE DE ORO,2019,12266
FUENTE DE ORO,2020,12627
FUENTE DE ORO,2021,12823
FUENTE DE ORO,2022,13000
GRANADA,2013,63543
GRANADA,2014,64615
